제목,답변상태,작성일,담당부서,작성내용,답변내용
감천항로6 화물차 도로점거,답변완료,2024-08-20 10:10:23,교통환경국 주차관리과,안전신문고 112등 신고를 해도 전혀 바뀌질않습니다. 경찰분들은 이제 본인들이 하는 분야가 아니라 구청에 연락해라고 미루기 일수고 단속차를 보내달라고해도 오지도않고 한번 와서 방송한번하고 5분뒤 다시 와서 단속을 하지않습니다. 뭐 어떻게 하라는겁니까??? 단속cctv 설치해달라고 23년12월에 구청방문하여 건의하여도 돈 많이든다 다른곳에 설치해야한다라고 하고 그냥 뭐 차에 깔려죽으라는겁니까 성보냉장에 안전요원을 배치해서 차량 통제를 좀 하던지 민원 및 신고를 해도 아무 조치도 없으면서 신고하는 이유가 대체 뭔가요???  도로 점거하고 배째라 하는 회사 및 기사들은 편하게 살고 그 새끼들때문에 불편하다고 말하는 사람들은 그냥 묵살합니까 . 날짜 시간도 상세히 해서 신고해봐야 돌아오는 답변은 형편없고 쓸대없는 형식적인 말뿐 개선의지는 전혀없으며 관리를 하지도않습니다※ 첨부파일 :감천항로6 불법주정차.zip신고내역.zip,"1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “감천항로 8 주변 불법주정차 단속 및 무인단속카메라 설치 요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 불법주차로 불편을 겪으신 점 송구스럽게 생각합니다.나. 불법주정차 무인단속카메라는 많은 예산이 수반되는 고가의 장비로 주요 간선도로변의 교통체증지역 및 초등학교 정문 앞 어린이보호구역 등에 대하여 순차적으로 설치하고 있어 당분간 설치가 어려우나 장기적으로 설치를 검토해보겠습니다.다. 해당 지역(성보냉장 입구)에 대하여는 잦은 민원으로 이동식 단속 차량을 이용하여 수시로 단속을 하고 있으나, 주차단속업무의 특성상 동일한 위치에 10분이상 정차 하여야만 단속이 가능하여 단속에 애로사항이 많은 점 넓은 마음으로 이해하여 주시기 바랍니다.라. 해당 업체에 대해서는 관계자에 연락하여 차량 정리 등을 요청하고 있습니다. 교통과 내에서 관련 담당자들과  논의 하였으나  해당 업체에 법적 처분이나  강제할 방안은 없음을 알려드립니다.4. 아울러 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(이성훈, ☎220-4562)로 문의하시면 성심껏 답변 드리겠습니다."
경사지 하수도 누수로 인한 민원,답변완료,2024-08-18 15:55:55,안전도시국 도시정비과,"사하구 감천로 189-4 민원인의 집 앞으로 하수의 누수로 계속 물이 흐르고 있습니다.두차례의 색소검사로 189-5에서 발생한 하수 누수임이 확인 되었으나 189-5는 땅을 파 본 결과 개인관이 아닌 공용관이 묻혀있다는 이유로 수리할 수 없다는 입장이고 구청은 공용관이 아니란 의견이라 누수로 인한 피해는 온전히 물이 흐르는 두 집이 (189-4, 189-3)이 보고 있는 실정입니다.구청과 주민센터 모두 출장을 나와 현장 확인을 하겠다고만 하고 이후 아무런 조치가 없는데 개인관로라 개인의 책임이면 행정명령이라도 있어야 할 것 이며 구청의 책임이라면 더이상 피해가 없도록 시급히 공사가 이루어져야 할것입니다.여름에도 흐르는 물에 이끼가 끼어 자칫 또다시 낙상사고가 날 까 걱정이며 189-3은 옹벽을 타고 물이 흘러 옹벽 안전도 걱정하고 있습니다.누수량이 점점늘며 악취문제도 발생하고 있습니다.이에 본 누수건이 어떻게 조치되고 있는지 답변 부탁드립니다.","1. 평소 구정 발전에 도움을 주셔서 감사합니다.2. 감천로 189-3 일원 하수누수 사항은 불편사항해소를 우선 누수가 의심되는 구간에 대해 확인굴착 등 점검 예정임을 알려드립니다.3. 만족스러운 답변이 되었기를바라며, 기타 궁금하신 사항은 도시정비과(☎220-4686)로 전화주시면 자세히 답변 드리겠습니다.붙임 1. 상담민원 1부.2. 위치도 및 현장사진 1부.  끝."
해바라기 공원 비둘기 좀 처리해주세요,답변완료,2024-08-17 13:41:00,교통환경국 환경위생과,해바라기 공원(하단동1184-4)에 비둘기 먹이 주는 사람이 여럿 있습니다유선으로 문의 했으나 전혀 개선이 되지 않습니다공원 운동기구에 비둘기 배설물(사진 참조)로 이용하기가 힘들고 통행중 비둘기 배설물에 맞는등 피해가 속출합니다CCTV를 이용한 단속과 큰 푯말 설치해서 비둘기 밥을 못주게 해야 됩니다신속한 처리부탁드립니다※ 첨부파일 :20240817_132206.jpg20240817_132200.jpg,"1. 우리 사하구 구정 발전에 적극 참여해 주셔서 감사드립니다.2. 귀하께서 게재하신 비둘기 먹이주기로 인한 피해 및 불편사항과 관련하여 다음과같이 답변 드립니다.- 집비둘기는 서식밀도가 너무 높아 분변 및 털 날림 등으로 건물 부식 등의 재산상 피해를 주거나 생활에 피해를 주고 있어『야생생물 보호 및 관리에 관한 법률』에 따라 유해야생동물로 관리 되고 있으며,- 귀하의 민원과 관련하여 현장 확인할 당시에는 비둘기 먹이를 발견하지 못하였으나,구민의 불편사항 해소를 위하여 비둘기 먹이주기 금지 안내문을 부착하였음을 알려드립니다.- 하지만 현재 비둘기 먹이 주는 행위를 시정할 현행 법규 및 규정이 없어 단속과 처벌에는 어려움이 있는 점 양해 부탁드립니다.3. 비둘기로 인한 주민 불편사항에 대하여 궁금하신 사항이 있으시면 사하구 환경위생과(담당자, ☎051-220-4385)로 문의하여 주시면 친절히 답변 드리겠습니다. 감사합니다.붙임  1. 2024년8월17일-a0-민원상담목록번호231619.2. 20240817_132200.3. 20240817_132206.  끝.※ 첨부파일 :20240817_132200.jpg20240817_132206.jpg"
포스코 공사때문에 못살겠습니다,답변완료,2024-08-17 12:43:07,교통환경국 환경위생과,포스O 공사가 본격적으로 시작되면서부터 소음과 분진으로 상당히 힘듭니다여러 질병으로 약을 복용중인 아내가 낮잠을 취해야하는데 그러지를 못해서 두통도 생겼습니다공기좋은 이 동네에서 창문을 열지못하고 지내게되다니 이게 왠말입니까빠른 답변 부탁드립니다,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “부산 당리승학 지역주택조합 공동주택 신축공사 소음으로 인한 불편사항”에관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.- 현장확인 결과 지반조성작업 중 천공기, 브레이커 사용 등으로 인한 소음발생 확인하였습니다.- 타 민원인 거주지 방문하여 소음 측정한 결과 생활소음규제기준 초과[71dB(A)기준 65dB(A)]에 따른행정처분 및 과태료 부과 하고자 하며,- 민원인의 불편사항을 현장관계자에게 전달하여 고소음 작업 시 기계장비 분산 사용, 방음시설 보완 등 소음 최소화 할 수 있는 방안 마련하여 공사장 소음관리 철저토록 행정지도 하였습니다.4. 기타 궁금한 사항이 있을 경우, 사하구 환경위생과 이상근 주무관(☏051-220-4397)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
보도블록이 꺼져있네요,답변완료,2024-08-17 12:42:49,안전도시국 건설과,괴정2동 대티방면 경동스마트 횡단보도 지나서 휴마트쪽으로걸어오는데 보도블록이 몇개 꺼져있어 위험합니다.확인부탁드립니다※ 첨부파일 :1723866123168.jpg,"1. 안전한 도로 환경 조성을 위한 귀하의 신고에 감사드립니다.2. 귀하께서 건의하신 민원사항(괴정동 328-39번지, 침하된 보도블럭 정비요청)에 대하여 정비완료 하였음을 알려드립니다.3. 기타 문의사항은 사하구청 건설과 조상균 주무관(051-220-4664)에게 연락주시면 친절히 답변 드리겠습니다.붙임  1. 2024년8월25일-a0-민원상담목록번호231613.2. 위치도 및 현장사진.  끝.※ 첨부파일 :위치도 및 현장사진.hwp"
다대포 산책로 해양 쓰레기,답변완료,2024-08-17 19:11:32,시설관리사업소,"매주 다대포 산책로는 걷고 있는데 걸을때마다 보이는 해양 쓰레기들 처리 부탁드립니다.점점 많아 지는거 같아요. 아니면 쓰레기통을 많이 설치 해주세요.제발 바다에 못버리게요주기적으로 청소하거나 플로깅이라고 걸으면서 쓰레기 줍는것도 있고 시민들도 참여하며 같이 청소하는 방법도 있습니다. 어떻게는 바다에 쓰레기가 없어졌으면 좋겠습니다.그게 바다나 해양생물, 사람들한테도 좋을거같아요※ 첨부파일 :20240817_185103.jpg20240817_185221.jpg","1. 구정 및 환경보전에 대한 관심에 감사드립니다.2. 귀하의 민원내용은 ‘낙동강 하구 제방 인근 해양쓰레기 수거·처리’에 대한 것으로 판단되며 이에 대해 다음과 같이 알려드립니다.가. 우리 구에서는 매년 인력을 동원하여 주기적으로 육·해상 순찰을 통해 관내 낙동강하구, 해안가 및 항·포구의 해양쓰레기를 수거·처리하여 깨끗한 해양환경을 보전하기 위해 노력하고 있습니다.나. 귀하의 민원에 따라 해당 구역 정화작업을 완료하였음을 알려드리며, 앞으로도 해양정화에 노력하겠습니다.3. 기타 문의사항이 있으실 경우 시설관리사업소(☎220-4914)로 연락주시면 상세히 답변 드리겠습니다.붙임  1. 2024년8월17일-a0-민원상담목록번호231665.2. 민원처리.  끝.※ 첨부파일 :민원처리.jpg2024년8월17일-a0-민원상담목록번호231665.pdf"
포스코 공사 소음 너무 심합니다,답변완료,2024-08-16 14:48:57,교통환경국 환경위생과,포스코 공사 소음 및 분진 때문에 죽겠습니다하루 이틀도 아니고 소음 때문에 너무 힘듭니다몇번을 측정 해 달라고 해도 담당자가 안받을땐 전달해 준다면서 연락도없고 매일 측정 해서라도 바러 잡아야 하는거 아닌가요?바쁘고 한거 알고 하지만 우리도 살아야 하지 않겠습니까바빠서 측정하기 어려우면 포스코 담당자 불러서 측정할테니기준 이상일시 행장처분을 받게 해주시던지 햊 시면 좋겠습니다,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “부산 당리승학 지역주택조합 공동주택 신축공사 소음으로 인한 불편사항”에관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.- 현장확인 결과 지반조성작업 중 천공기, 브레이커 사용 등으로 인한 소음발생 확인하였습니다.- 타 민원인 거주지 방문하여 소음 측정한 결과 생활소음규제기준 초과[71dB(A)기준 65dB(A)]에 따른행정처분 및 과태료 부과 하고자 하며,- 민원인의 불편사항을 현장관계자에게 전달하여 고소음 작업 시 기계장비 분산 사용, 방음시설 보완 등 소음 최소화 할 수 있는 방안 마련하여 공사장 소음관리 철저토록 행정지도 하였습니다.4. 기타 궁금한 사항이 있을 경우, 사하구 환경위생과 이상근 주무관(☏051-220-4397)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
을숙도실내체육관 배정변경요청,답변완료,2024-08-15 01:59:26,자치행정국 체육홍보과,"무더운 여름 구정활동에 여념이 없으신 구청장님이하 공무뭔 여러분의 노고에 감사드립니다.을숙도 테니스장이 다목적 실내구장으로 변경되면서 더운여름이나  우중에도 운동이 가능한 시설로 바뀌어 유용하게 사용할수 있어서 장점이  있습니다만 금전적 비용문제나 추첨으로 젊은 사람들이 조직적으로 신청에  참여함으로 인해 나이많은 기존의 테니스회원들은 구장사용이 어려워 죽쒀서  개준 꼴인 그림의 떡이 되어버렸습니다.실제로 주말에 사용해보면 저희외에는 거의 젊은사람들이 차지해버리고 기존의 테니스회원들은 찾아 볼 수가 없습니다.창원같은 경우는 어른신 전용테니스장을 건축중에 있으며 초고령 사회에서 인터넷에 약한 노인들을 위한 배려가 있었으면 합니다.그래서 기존의 5, 6번 사하주민 우선배정 코트를 어른신우선배정으로 병행하면 어떨까 하여 제안합니다.여러가지로 설득력이있는 의견이지 않을까  생각하며 숙의바랍니다.","1. 귀하께서 홈페이지를 통해 을숙도 다목적실내생활체육관 이용과 관련하여 신고하신     민원에 대해 안내드립니다.2. 귀하의 민원내용은 을숙도 다목적실내생활체육관 이용 및 운영에 관련된 것으로 판단되며 다음과 같이 답변드립니다.❍ 을숙도 다목적실내생활체육관은 국비, 시비, 구비 예산이 반영되어 조성된 시설로서 「부산광역시 사하구 체육시설 관리․운영 조례」의 규정에 따라 운영하는 시설임을 알려드립니다.❍ 국민권익위원회에서는 공공체육시설 운영에 있어 이용자 간의 다툼이 빈번히 발생하여 이에 대한 대안 마련과 제도개선을 촉구하고 있고 우리 구의 경우 이용자간의 분쟁을 막기 위해 공공체육시설 온라인 예약시스템을 운영하고 있습니다.❍ 5번, 6번 코트 예약에 대해 특정 연령에 맞춰 배정하는 것은 불가함을 알려드리며 을숙도 내 다목적실내생활체육관 뿐만 아니라 축구장, 풋살경기장, 리틀야구장 등 연령 및 성별과 무관하게 인터넷 예약제로 정상 운영되고 있는 점 참고바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이     필요한 경우 시설관리사업소 강봉근주무관(☎220-5857,5855)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  2024년8월16일-a0-민원상담목록번호231337 1부.  끝."
쓰레기좀 치뭐주세요,답변완료,2024-08-15 20:19:51,교통환경국 자원순환과,동네 길목에 몇일전부터  밤에 몰래 쓰레기를 버리고 갔네요고양이가 냄새맞고 쓰레기 봉투 다 뜯어요  빠른 조치부탁합니다담부터는 버리지못하도록 경고문 좀 달아주세요※ 첨부파일 :1723720184873.jpg1723720180452.jpg1723720188109.jpg,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “오작로78번길 2-8 인근 무단투기 쓰레기 수거 및 금지표지판     부착”에 관한 것으로 이해되며 검토 의견은 다음과 같습니다.가. 귀하께서 제보하신 위치에 있는 폐기물은 즉시 수거 완료하였으며, 주변 일대에       계도도 실시하였습니다.나. 요청하신 무단투기 금지표지판도 부착하였으며, 해당구역 일원이 깨끗하게 유지        될 수 있도록 노력하겠습니다.3. 답변 내용에 대한 추가 설명이 필요한 경우 사하구청 자원순환과(☏051-220-4436)로     연락주시면 안내해 드리겠습니다.붙임  1. 2024년8월23일-a0-민원상담목록번호231427.2. 현장조치사진.  끝.※ 첨부파일 :현장조치사진.zip"
장평중학교 공사소음,이송이첩,2024-08-15 10:28:12,없음,"장평중학교가 올해부터 공사하는데 이번 여름방학부터 본격적으로 철거를 합니다.공사소음과 먼지가 심각한데 학생들 공간이니 이해하려고합니다.그런데 당초 공지한바로는 08-17시까지 공사를 진행하고 일요일 공휴일은 공사를 안한다고하더니이번주 8월12일부터는 매일 7시40분부터 공사를 시작하고 오늘 8월15일 국가공휴일에도 공사를 하고있습니다.주말 휴일에 쉬어야하는 사람도 있는건데 일방적으로 공사진행하시는건 아니지않나요?지역사회의 이해와 협조를 바란다면, 내걸었던 조건은 이행해주시기 바랍니다.내년까지 공사를 한다는데 답답한 마음에 글 적습니다.※ 첨부파일 :20240815_101843.jpg20240815_101722.jpg",없음
포스코 현장 소음이 너무 심합니다.,답변완료,2024-08-15 15:28:37,교통환경국 환경위생과,당리동 우림그린맨션 거주자입니다.제목과 같이 포스코 현장 소음이 너무 심합니다.하루종일 TV 소리도 들리지 않을 정도의 동일한 리듬의 소음으로 두통 및 어지럽기까지 하네요상당히 심각한 수준이지만 글로써 표현하기가 쉽지 않네요빠른 시일 내 개선될 수 있도록 조치바랍니다.,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “부산 당리승학 지역주택조합 공동주택 신축공사 소음으로 인한 불편사항”에관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.- 현장확인 결과 지반조성작업 중 천공기, 브레이커 사용 등으로 인한 소음발생 확인하였습니다.- 타 민원인 거주지 방문하여 소음 측정한 결과 생활소음규제기준 초과[71dB(A)기준 65dB(A)]에 따른행정처분 및 과태료 부과 하고자 하며,- 민원인의 불편사항을 현장관계자에게 전달하여 고소음 작업 시 기계장비 분산 사용, 방음시설 보완 등 소음 최소화 할 수 있는 방안 마련하여 공사장 소음관리 철저토록 행정지도 하였습니다.4. 기타 궁금한 사항이 있을 경우, 사하구 환경위생과 이상근 주무관(☏051-220-4397)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
하단 원마트 아래 유플러스 지하주차장입구 인도 점유 불법 건축물,답변완료,2024-08-14 06:42:39,안전도시국 건설과,지하차도입구에 8월 12.3일경에설치된 인도 점유 높은 불법건축물로 노인발걸려 넘어짐 사고 목격후 신고합니다.안그래도 좁은 인도에높은벽건축물  이라니.어이없고사고 발생까지. 못된 양심 강력 법적 조치 답변 요청합니다.※ 첨부파일 :20240814_054928.jpg,"1. 평소 구정발전에 관심을 가져 주셔서 감사드립니다.2. 귀하께서 건의하신 민원사항과 관련하여 무단 사용한 부분에 대해 소유자에게 계도하였으며, 이를 이행하지 않을 경우 관련법령에 따라 처분토록 하겠습니다.3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이필요한 경우 건설과(☎220-4634)로 연락주시기 바랍니다.붙임  2024년8월23일-a0-민원상담목록번호231208.  끝."
신평장림산업단지사거리 화단 제초작업 요청 건,답변완료,2024-08-14 11:18:16,교통환경국 산림녹지과,안녕하세요신평에서 명지로 자주 넘어가는데신평장림산업단지사거리 화단에 풀이 많이 자라서유니클로 쪽에서 나와서 명지로 넘어사는 사거리에서 시야 확보가 안됩니다.이에 바쁘시겠지만 화단 제초작업 요청드립니다.원래도 사고가 많이 나는 곳으로 아는데빠른 작업 바랍니다.※ 첨부파일 :캡처12.PNG캡처11.PNG,"1. 우리구 녹지행정 발전에 관심을 가져주신 데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 신평장림산업단지사거리 교통섬(신평동 370-17번지) 제초 등 정비 요청나. 답변요지○ 귀하께서 말씀하신 신평장림산업단지사거리 교통섬(신평동 370-17번지)은 빠른 시일 내(8월 중) 제초 등 정비하도록 하겠습니다.○ 최근 기온 상승 등으로 인한 전정 및 예초 등 녹지대 정비 요청 민원이 증가함에 따라 민원 해소를 위하여 순차적으로 정비 작업 시행 중이오니 기간이 다소 소요되더라도 너그러이 양해해 주시기를 바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 산림녹지과(☎220-4531)로 연락주시면 성실히 안내드리겠습니다. 감사합니다.붙임  상담민원내용 1부.  끝."
위험간판,답변완료,2024-08-13 12:39:28,안전도시국 도시정비과,"감천1동 부일전자고등학교 버스정류장 앞 입니다.오래된 간판이 위험하게 방치 중 입니다.인근에  어린이집, 초중고 학교가 있어 학생들도 많이 다니고,곧 태풍도 올텐데 너무 위험해 보입니다.빠른시일내로 안전조치 부탁드립니다.※ 첨부파일 :IMG_7075.jpegIMG_7074.jpeg","1. 평소 구정 활동에 깊은 관심을 가져주셔서 감사드립니다.2. 귀하의 민원내용은 부일외국어고교부일전자디자인고교 버스정류장 뒤편 건물(감천로 71감천동 715-8)의 간판이 파손된 상태로 방치되어 외부로 노출된 구조물 등이 유발하는 위험에 대한 문의로 판단됩니다.3. 지목하신 간판은 사유재산으로서, 광고주 혹은 건물주 등의 관리 책임자가 정비해야 하는 바,       해당 건물의 토지 소유 법인 측을 방문해 자진 정비토록 행정지도하였으며, 소유 법인 측에서      자진 정비에 협조하겠다는 의사를 전달했음을 알려드립니다.4. 이에, 우리 구에서는 향후 관리 책임자 측의 자진 정비 상황을 점검하면서 빠른 시일 내에     정비가 되도록 유도할 것이며, 긴급한 정비가 필요할 시엔 구에서 자체적인 안전조치를 할      계획입니다.5. 귀하의 신고에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이     필요하거나 불편사항 및 기타 문의사항은 우리 구 도시정비과(☎220-4716)로      연락 주시면 성의껏 안내해 드리겠습니다. 감사합니다.붙임  2024년8월19일-a0-민원상담목록번호231075.  끝."
을숙도 체육공원 운동 중 모기 및 해충 퇴치 조치 바랍니다.,답변완료,2024-08-13 12:50:53,보건소 보건행정과,"을숙도 체육공원 안에서 걷기, 달리기, 축구 등 운동을 하려고 하면 해충 및 모기가 너무 많아서 난감합니다. 방역 등 조치를 바랍니다. 수고 많으신데 감사합니다.","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 을숙도 체육공원 일대 방역민원으로 이해됩니다.3. 우리 보건소에서는 월별 방역일정에 따라 관내 방역취약지를 월 2~3회 이상 정기적으로 방역하고 있으며, 귀하께서 요청하신 지역은 8.8.(목) 전체 동력분무 소독, 8.16.(금) 축구장 일대 수동분무 소독을 실시하였고, 8.23.(금) 추가 방역할 예정임을 알려드립니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 보건소 보건행정과(051-220-5742)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.  끝."
을숙도 축구장 방역 요망,답변완료,2024-08-13 12:40:05,보건소 보건행정과,요즘 들어 부쩍 러닝 붐이 일어났습니다.그에 따라 을숙도 축구장 트랙을 이용하는 시민들이 늘었습니다.무더위 때문에 해가 지고 트랙 러닝을 하는 시민들이 많은데 주변에 벌레와 지독한 모기 때문에불편이 많습니다. 여기서 모기를 물리면 심할 경우 퉁퉁 붓고 장기간 증상이 지속됩니다.기피제를 뿌려도 완벽하게 대처가 힘듭니다.무더운 여름간 지속적인 방역이 꼭 필요할 듯 합니댜.감사합니다.,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 을숙도 체육공원 일대 방역민원으로 이해됩니다.3. 우리 보건소에서는 월별 방역일정에 따라 관내 방역취약지를 월 2~3회 이상 정기적으로 방역하고 있으며, 귀하께서 요청하신 지역은 8.8.(목) 전체 동력분무 소독, 8.16.(금) 축구장 일대 수동분무 소독을 실시하였고, 8.23.(금) 추가 방역할 예정임을 알려드립니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 보건소 보건행정과(051-220-5742)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.  끝."
감천동 천연가스발전소 나누리 공원 앞 산책로 방서작업 요청합니다.,답변완료,2024-08-13 15:40:23,보건소 보건행정과,"안녕하세요, 더운 여름에 주민 복지를 애써주심에 감사드립니다.건의 드릴 내용은 감천동 화력발전소 나누리 공원 앞 산책로에 쥐가 많이 출몰하고 있습니다.쥐는 각종 질병을 옮기는 매개체가 되는 유해동물인 만큼 빨리 방충, 방서작업을 해주시기 바랍니다.주민들의 건강을 위해서 빠른 처리 부탁드립니다.감사합니다.","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 감천나누리파크 앞 쥐 방제 및 방역 민원으로 이해됩니다.3. 우리 구 보건소에서는 모기 등 해충에 대한 방역과 유충구제를 주기적으로 시행하고 있으며, 쥐 방제에 대한 약품은 취급하지 않고 있으나 쥐를 매개로 한 2차 감염병 발생 예방을 위하여 해당 위치에 8. 14.(화) 소독을 시행하였습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이  필요한 경우 사하구 보건소 보건행정과(051-220-5742)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임 : 2024년8월19일-a0-민원상담목록번호231096.  끝."
하단 로터리 대중교통 대기,이송이첩,2024-08-13 13:28:59,없음,"하단로터리를 경유하여 명지 국제신도시를 오가는 구민입니다.  다름이 아니라 녹산버스20번을 포함하여 마을버스 들이 죄다 하단교통섬??BRT 주변에서 회차하여 약20분 대기 후 버스승차장으로 오는 구조입니다.  예전에는 회차 후 5분 내 구민들이 승차할 수 있었는데 왜 이렇게 변경되었는지 모르겠으나 몇가지 문제 제시 후 시정요청드립니다.1. 버스회차 후 모든 마을버스들이 10,20분 대기를 하고 있으니 괴정쪽에서 명지쪽으로 가는 차량흐름에 방해된다.  회차할 때도 복잡한데다대기 까지 하고 있으니 이 일대가 항상 번잡하다2. 교통량이 많은 도로 한복판(교통섬?)에서 기다리다 보니 매연을 너무 많이 호흡하게되어 폐질환이 염려된다.  구민을 위한 정책인가?  교통수단을 위한 정책인가?3. 차량이 빤히 보이는데 20분씩 차를 기다리려니 너무 힘들다(덥고, 공기 탁하고, 시끄럽고, 다리아프다).지난 토요일 학생한명이 대기하는곳까지 뛰어 갔으나 절대 문을 열어주지 않았다 ㅠㅠㅠ이에 이 문제 해결을 위해1.하단 로터리 회차지점에서는 회차 후 바로 승객을 태워 출발한다2.버스 종점(각 차마다 다르겠죠)에서 기사님들이 휴식시간을 갖한다3.꼭 대기해야한다면 대기시간에도 승객들이 탈 수 있도록 편의제공한다마을버스를 이용하는 구민들을 위한 바람직한 정책을 펼칠것을 건의드리며 빠른 시정조치 부탁드립니다.",없음
아미산 제초 작업 (몰운대 롯데캐슬-응봉봉수대),답변완료,2024-08-12 12:40:13,교통환경국 산림녹지과,"안녕하세요. 더운 날씨에 업무에 노고가 많으십니다.아미산 관련, 몰운대 롯데캐슬에서 응봉 봉수대까지 가는 길에 풀이 무성하게 자라있습니다.그리고 무성한 풀때문인지 모기와 벌레들이 너무 많습니다. 체력 단련이 어려워요.제초작업 및 모기퇴치 부탁드립니다.참고로 사진 1장 첨부합니다.감사합니다.※ 첨부파일 :KakaoTalk_20240812_114256919.jpg","1. 우리 구정 발전과 산림업무에 관심을 가져주셔서 감사드립니다.2. 귀하께서 건의하신 민원(상담민원목록번호 : 230918)에 대하여 다음과 같이 답변드립니다.가. 민원요지○ 아미산 제초 작업(몰운대 롯데캐슬 ~ 응봉봉수대)나. 답변요지○ 현재 제초작업 요청이 많은 관계로 순차적으로 작업할 계획으로, 시간이 지연될 수 있음을 양해하여 주시기 바랍니다.3. 기타 추가 설명이나 궁금한 사항이 있으시면, 사하구 산림녹지과(☎051-220-4539)로 연락주시면 친절히 답변드리겠습니다.붙임  1. 2024년8월20일-a0-민원상담목록번호230918."
